	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	25.4	0	36	246	304.2	311.8	259.8	42.2	0	30	100	77.8	172.2	201.2	123.8	91	4	0	0	0	222	300	78	0	27	100	74.2	90.8	98.8	27.2	134	251	219	242	247	89	0	78	224	222	76	0	60	100	40	0	0	0	76	169
TSS_00004	0	0	22.8	276.2	277.2	23.8	116	348	369	252	115	36	156.6	313.4	384.4	277.6	174.96	201.04	274.04	719.76	1575.84	2898.64	7133.64	12203.7	10320	5078.64	2312.52	740.2	396	394	403	454.48	308.52	286.64	502.68	930.56	1150.8	1081.32	607	165	200	119	51	100	49	0	26	151	267	152.04
TSS_00006	95.2	97.96	99.04	265.24	205.76	66	248	531.36	490.64	232.64	61.36	19	100	167	100	14	0	0	217.84	1096.64	1754.68	1175.36	427.48	255	312	354	278	284	277	135	33	143	214.28	459.72	587.08	314.4	386.16	282.88	12.48	0	56.2	407.8	443.8	92.2	0	0	86	100	61	100
TSS_00011	4.76	163.24	195.24	36.76	0	0	3.64	149.36	296.36	150.64	58	130.6	320.4	269.4	21.6	110	200	100	100	90	80.88	279.12	367.12	387.72	517.92	530.2	480.4	487.84	260.68	115.12	142	100	67	146	205	154	92	100	87	148.8	389.2	275.2	110.8	76	0	0	0	0	149	200
TSS_00014	200	93	25	155	220	145	95	155	160	45	0	0	5.6	93.4	132.4	151.6	317	270	145	166	423	679.2	857.4	1120.8	1221.6	1035.4	661	504.6	613	415	156.8	382.2	404	345	421.2	298.8	182.2	450.8	682.8	448	418.2	408.2	159.2	199.4	391.8	347.6	307.8	184	60	188
TSS_00016	913.6	1118.16	760.8	650.12	998.6	1200.56	2322.36	5285.88	6159.08	3857.6	1620.4	553.92	259.52	124.48	83	362.52	581.48	237.48	54.92	304.6	394.04	479.32	453.2	182.4	440.64	587.76	502.04	476.92	337.68	350.2	421.8	266.32	289.68	452.48	217.52	135	365	365	142.84	246.16	292.16	89.84	103.36	159.96	265.32	278.04	190	291.32	296.32	209.68
TSS_00020	104.36	305.04	293.24	94.96	168.96	569.16	759.72	726.76	732.8	439.96	329.04	297.12	205.12	431.76	466.24	864.72	853.84	355.08	649.84	736.24	544.44	599.8	493.4	304.92	435.48	730.48	650.52	551	501.28	421.72	470.52	370.48	315.04	396.96	336.16	317.12	411.72	286.72	192.28	215.96	185.04	110.04	172.96	312.8	347.36	261.04	305.64	400.16	240.68	296.32
TSS_00022	9.88	0	0	6	137	294	270.8	330.2	492.2	269.8	38	127.36	503.04	1262.92	2244.52	3359.68	3420.24	1719.68	786.56	866.36	494.64	332	213	32	0	0	0	0	9.12	324.88	390.88	75.12	78	172	189	183	215.44	289.04	326.08	307.96	291.48	148	62	100	38	0.48	126.52	324.28	372.72	175.24
TSS_00025	85	208	400	192	0	0	1.68	258.32	398.32	141.68	196.96	489.88	492.2	359.12	287.84	252.6	349.08	516.76	579.88	517.64	494.44	407.96	292.24	156.04	29.4	288.96	277.96	144.04	201.28	158.72	98.72	8.28	0	21	100	95	100	86.16	266.44	872.04	985.8	614.76	357.76	275.04	234	136	227	300.08	251.92	300.16
TSS_00028	466.4	372	333	183	262	398.2	150.8	0	0	0	114.6	390.4	285.4	9.6	0	74.4	397.6	338.6	106.4	221	196	66	0	13	100	87	0	0	0	14.4	225.4	417	371.4	168.6	3.2	13	137	203	224	418	511	266	28	35	170	422	627.6	589	597.8	546
TSS_00036	0	75	100	28.68	98.32	96.32	1.68	0	0	38	183	162	17	0	0	24.84	259.16	275.16	147.84	658.2	1818.96	3879.88	10557.9	16907.3	11924.6	3416.64	548.48	170.92	321.08	267.08	151.4	389.52	310.52	261.48	299	194	201.44	322.56	355.56	265.44	270	225	134	42	0	76	100	24	77	153
TSS_00038	66	37	100	63	0	0	39	100	61	0	0	0	0	0	0	152	245	222	155	26	221	573	574.44	468.56	363.68	370.32	615.72	668.28	446.16	332.84	382.72	386.28	473.28	693.36	1870.72	3950.24	3614.12	1675.04	845.16	382.08	247	408	346	149	200	143	78	100	22	0
TSS_00040	2095.4	1690.6	812.4	309.4	192.4	192.4	205.4	204.2	160	173	282	539	639	388	136	100	78	31	100	96	227.6	589.4	538.4	220.6	412.8	749.2	603	498.6	912.6	2281.6	3317	2373.2	1301.2	728.4	342.4	239.2	140.8	101.6	102.4	91.2	1.8	0	87.4	197.6	197.6	102.4	15	0	0	0
TSS_00041	159	14	0	86	200	114	0	0	43	100	136	100	21	60	100	40	130	424	470	176	0	18.48	99.52	139.52	250.48	342	200	323	545	485	363	395.32	469.68	296.68	103.32	152	276	248	132	100	61	0	0	68.36	196.64	211.12	202.88	120.52	3	120.48
