	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	0	27	139.6	411.8	537	461.2	223.4	31	146	169	54	0	0	137.4	506.6	736.6	505.2	495.4	719	704	1657.6	3218.6	4572.4	3839.4	3945.4	5952.6	5912.2	5456	4100	1820	566.6	343.6	634.4	732.4	573.4	710.2	744.8	629.4	587.2	399.4	223.2	190.2	324.8	344.8	427.2	490	240	100	60	66
TSS_00004	33	7.6	380.4	492.4	302.6	401	336	497	681	302	0	0	0	43.44	491.56	686.56	308.44	375.08	942.48	3793	8006.52	12079.9	11746.4	5810.56	3970.6	8275.96	10456.2	8340.6	6421.44	5204.52	4904.36	5419.28	3905.48	1525.16	922.52	645.96	124	94	100	18.92	98.08	233.08	201.92	54	0	30	100	138	100	32
TSS_00006	112.96	501.44	635.2	739.64	719.6	387.52	771.96	2334.76	3383.92	2707	2249.68	2130.48	1954.32	1542.52	939.52	525.24	144.04	256	2039.84	3398.44	2243.84	872.6	216.32	91.6	764.72	1806.64	2151.64	1279.96	930.2	1265	1013.44	1550.28	2427.44	1754.48	789	802.56	1181.6	1241.84	877.52	849.92	1111.12	758.68	362.32	375.04	283.96	124.96	7.04	0	0	0
TSS_00011	44	0	0	0	65	332.64	426.36	239.24	341.76	428.12	166.88	197	632.28	632.72	564.72	1203.36	1742.64	2238.16	2543.08	2902.16	4426.6	7404.32	7784.52	4343.96	3179.6	9595.76	15962.9	15870.8	12802.1	8816.56	6519.28	5540.16	4322.52	2523.6	1617.12	1160.44	606.64	728.04	563.04	142.96	33	0	0	0	0	0	3.64	91.36	96.36	66.64
TSS_00014	211.2	39.8	100	65	55	100	45	34	100	87	104.4	216.6	295.6	162.4	184.6	679.4	1156.6	1303.2	1973.6	3530.2	6146.2	7742.6	5029.2	1844.6	4069.2	8873.4	7969.2	4236.4	5712	7132.6	4984	3318.6	3220.8	4686.6	5039	3694	2878.2	2321.4	1550	1010.6	1185.4	1211.8	1056.4	1004.2	555.2	209.8	90.8	86.2	124.6	133.2
TSS_00016	4808.72	3833.64	3654.84	5958.92	8805.4	8949.08	8012.36	6436.84	4096.76	3828.56	2542.36	1195.6	1133.96	1002.68	598.56	795.16	2240.4	3383.24	3502.08	4025.8	4272.36	2697.24	1103.68	1390.36	7330.4	16205.4	21250.8	17382.4	10555.2	7462.96	5487.56	4455.96	4359	4142.32	2864.88	1681.24	778	642.96	548.04	152	2.24	89.16	260.44	671.76	737.32	239.08	0	0	0	40
TSS_00020	0	156	434.2	539.72	547.88	866.72	2075.88	2941.84	2701.84	2105.4	1446.64	1915.68	2634.6	2919.76	3096.84	3342.68	5518.16	8556	10573	11112.9	9186.04	6299.92	4062.88	3060.4	3180.44	8140.56	13407.8	11348.9	7421.32	5455.88	5702.64	6534.96	6412.36	3995.32	906.76	481.12	847.76	646.4	342.84	79.84	0.16	0	0	48	100	52	87	100	13	0
TSS_00022	153.52	170.48	324	328	200.52	286.48	278.48	132.52	43	0	0	0	190	716.44	1203.24	1699.88	2873.4	4956.88	6684.68	8117.72	8116.44	4302.24	732.24	255.88	2014.16	3956.16	3827.68	2651.64	2982.12	3520.28	2851.08	1813.08	961.96	888.4	726	577.4	574	416	244.04	360.96	354.96	167.04	64	74	100	26	0	0	33	100
TSS_00025	100	48	0	0	0	0	0	0	64	127	339.48	830.6	1357.88	1257.44	1018	1395.12	2021.56	2518.88	3234.64	4113.8	4407.88	3653.68	2316.36	1606.76	1687.76	3827.76	4221.44	1569.2	310.76	244.76	220.24	415	1468	1440	355	202	958.48	2193.76	2717.84	2607.8	2206.08	1562.92	1024.6	585.52	439.04	450.96	431.6	351.4	332.84	539.16
TSS_00028	279.6	502.4	649.2	529.8	351.2	195.8	95	33	100	67	1.4	86.4	215.8	213.6	82.8	66	356.8	540.4	562.6	833	2081.6	2208.6	720	687.6	2719.8	3995.2	2678.6	2210	3357.8	3044.6	1630.2	1227.8	1573	1599	2263.4	2554.8	1617.2	868	439	262	314	303	86	0	0	68	200	132	6	100
TSS_00036	393	266	86.76	52.24	151	243	220	105	29	54	220	249.68	179.24	387.04	500.12	367.28	576.88	1059.68	1514.64	1789.84	2030.8	1814.16	2317.88	2355.56	2716.8	5073.72	5691.04	7009.56	6989.4	3208.96	1446.8	3066.28	4896.36	5795.32	6188.52	4876.48	2223.4	1769.4	2315.84	1199.44	561.88	323.6	30.4	0	0	0	0	0	5.52	183.8
