	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	79	100	21	0	0	0	0	0	0	0	250	390	150	38	100	72	0	0	0	0	0	0	53	100	47	0	17	100	83	0	0	0	0.6	90.4	145.4	109.6	54	0	46	292	354	181	100	83	100	48.2	92.8	95.8	7.2	0
TSS_00004	0	0	0	0	0	324	400	102	115.96	267.04	184.04	6.96	0	0	0	0	0	52	120	148	80	0	0	0	0	0	41	100	59	80	100	207	508.48	440.52	290.52	363.48	397.2	387.8	203.8	126.2	289.68	396.32	449.04	546.08	538.16	661.96	786.76	873.44	918.04	604.6
TSS_00006	128.8	243	267	157	94	204	315	280	100	35	191	353.68	332.32	241.6	175.4	85.72	1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52	238.48	325.48	192.52	165	69	18.68	285.36	428.28	367.64	253.04	47	0	11.56	180.2	482.68	380.68
TSS_00011	95.24	5.76	0	0	0	50	100	51.12	84.88	98.88	15.12	0	0	0	50.68	230.32	249.32	112.76	243.92	286.92	156.08	70	0	0	0	1.12	118.88	198.88	146.12	115	135	147	225	338	234	100	52	106.16	186.84	218.6	296.4	299.24	210.52	170.24	112.48	193.52	185.56	101.44	140.2	190.8
TSS_00014	481.8	80.2	0	20	100	80	0	0	148	461.2	547.8	238.8	4.2	0	0	52	100	48	0	0	85	173	115	27	0	0	0	6	94	94	6	0	0	0	7.2	95.8	176.8	146.2	122.8	153.2	93.2	4.8	93.8	347.2	311	149.8	286.4	303	238.8	300
TSS_00016	104.44	199.44	125.56	100	70	0	0	0	0	54.88	237.12	245.12	68.48	167.4	194.96	217.04	606.44	615.56	193	74	100	26	0	0	17	100	83	0	23	200	177	62	256	338	182	100	74.2	192.8	221.28	200.72	373.52	372.48	193	34	0	63	100	55	158	309.2
TSS_00020	0	0.84	126.16	199.16	125.84	102.52	172.48	199.16	171.84	240.32	224.68	158	101	100	78	66.72	197.28	133.28	2.72	0	0	0	0	0	0	0	0	0	32	101.68	164.32	105.88	101.12	92.44	2.56	0	59.24	197.76	140.76	41.24	100	175	272	208	179	213	149	150	100	90
TSS_00022	142.16	96.16	6.84	30.2	184.8	169.8	35.2	100	123	114	192	265	165	21	0	0	0	0	0	1.2	84.8	98.8	21.2	100	94	0	0	0	0	0	0	0	0	0	0	0	34	100	103	342	363	82	100	111	104.56	205.44	195.44	68.56	100	91
TSS_00025	253.44	281	153	64	14	100	86	0	0	0	0	0.16	78.84	99.84	25.16	149	209	174	187	77	0	0	42	100	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	100	30.84	276.84	490.8	528.84	437.72	295.96	267.64	249.36	444
TSS_00028	100	82	0	0	0	0	0	0	0	59	101.4	126.6	98.6	14.4	0	0	0	0	4.4	168.6	195.6	31.4	0	0	0	63	100	109	100	97.2	196.8	130.8	85.2	200	118	145	402	462.6	640	880	814.8	503.6	358	313.2	249.8	596.6	913.4	661.4	652.6	775.4
TSS_00036	100	161	351	267	86	159	163	115	100	189	200	52.64	157.36	184.36	42.64	37	100	63	92	131	116.28	228.72	191.72	40.28	0	0	0	0	0	0	0	7.36	98.64	200.64	201.36	92	97	126	269	454	417	314.72	216.28	137.28	100.72	68	0	0	14.72	157.4
TSS_00038	16	100	84	0	3.84	93.16	120.64	200.36	255.52	106.48	20	40	179	160	21	0	0	34	100	118.2	192.8	194.8	107.2	76	100	149	100	91	100	37	0	38	100	62	0	13.44	98.56	138.48	221.52	311.08	190.8	163.12	271.12	182.2	113.68	176.68	191.32	115	113	200
TSS_00040	68	7.6	96.4	142.4	103.6	50	0	0	0	0	0	0	43	100	57	0	0	24	100	76	0	45	100	55	0	18	156	182	44	0	0	51	118	149	105	100	77	105	200	95	0	217.6	496.4	282.4	3.6	122.4	353.6	358.6	148.4	122
TSS_00041	58	0	243	417.88	454.12	283.8	106.76	318.76	368.12	279.56	128	0	128.08	426.92	443.92	173.08	102	230	306	170	20	66	100	34	0	0	0	140	200	60	0	63	100	37	0	0	45	171	160.88	126.12	94.12	2.88	0	64	188	214	312	222	183	344
TSS_00042	100	63	0	0	5.04	150.96	234.68	348.32	260.28	0.72	0	36	171	164	29	23	158	244	142	33	0	0	0	0	34	100	66	0	43.76	246.24	256.24	53.76	0	147	300	213	100	40	0	32.4	432.6	667.6	267.4	0	0	90	234	351.16	463.84	288.84
