	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	8.4	0	9	96	91	4	9	103.8	186.2	183.2	104.8	13	6	130.2	338.8	269.8	55.2	0	18	175	212.8	370.2	657.2	441.8	431.6	924.4	770.4	228.6	148	282.6	360.4	256.4	118.6	121	148	100	125	200	110	0	0	0	0	0	0	37	100	76.8	99.2	135.2
TSS_00004	127.24	5.76	4.56	95.44	95.44	153.76	317.8	371.8	282.2	79	0	0	1.52	94.48	182.48	105.52	16	255.56	585.44	666.56	648.12	1332.68	1972.76	1637.4	2082.16	5162.84	9537.12	11573.6	10981.8	7474.04	4531.8	5127.44	4638.36	3768.12	3786.52	2459.2	1045.64	851.6	790.28	361	248	430.24	454.12	329.4	301.88	373.4	376.96	247.24	291.76	249.72
TSS_00006	183.52	262.48	133.48	169.04	325.48	453.6	1093.2	1882.44	2077.96	1754.44	903.36	282.44	1014.56	1234.84	524.16	318.72	161.28	324.16	1628.68	2033.04	964.28	280.8	130.16	347.36	741.08	1853.88	3741.16	4230.24	3166.64	2552.44	2278.52	3168.24	6280.92	7044.56	6938.28	8441.92	10123.8	8405.56	4032.72	2847.08	3572.64	3174.72	1449.68	584.44	251.44	81.56	100	195	374	243
TSS_00011	0	0	0	0	20.04	321.96	379.96	78.04	0	61	100	39	152	279	272.76	318.6	266.16	264.12	381.04	672.96	953.76	1167.2	1199.04	714.16	1289.28	3563.8	5783.6	8650.56	10055.4	7436.92	5290.88	3585.96	2116.2	1827.08	1363.04	1026.64	683.32	746.56	824.56	446.44	69	0	0	77	400	323	0	0	80	300
TSS_00014	368.2	325.8	124.2	16.8	94	94	6	0	27	100	73	57	203.2	317.8	506.8	1024.2	1328.2	1630.2	2618.8	3279.8	4208	4889.6	2778.2	898.6	1349.2	3709	4038.2	2231	3580.4	4498.4	4206.2	4095.8	3643.6	3640.6	3246.6	2945.8	3118.4	3347.8	2970.6	3043.4	3288.2	2494.6	1392.4	788.4	1042	1059.4	829.6	455.8	425.2	686.8
TSS_00016	4035.04	3575	2630.84	3630.68	4756.36	4720.36	5280	4769.88	2880.8	2327.68	1817	976.24	352.88	196.48	375.12	799.52	1376.64	1851.08	2561.88	3967.72	4503.48	2568.96	524.84	489.72	2033.84	3702.28	4231.16	3576.64	2877.8	2442.08	1841.52	1765.24	1812.36	1666.28	1336.36	670	166	83	0	0	0	0	109.64	291.36	190.36	8.64	0	115.04	294.96	184.96
TSS_00020	1.6	0	0	71.04	302.96	585.96	480.04	420	458.76	506.08	626.4	350.16	368.6	546.76	293.24	146	283	590.88	1123.12	2338.76	2277.24	851.36	683.32	1058.2	1478.36	3685.4	7013.88	6097.2	3219.68	2532.48	3021.96	3853.52	3392.96	1642.2	521.92	686.2	734	633.08	596.2	304.72	24.36	0	180.6	590.4	419.4	34.6	100	75	0	0
TSS_00022	62.72	0	0	2.64	89.36	100.24	128.76	197.12	81.88	0	70	123	130	190	348	511.48	663.24	1013.68	1483.56	1914.72	1780.64	847.12	124.56	8.88	422.04	759.2	382.76	421.64	1599.96	2478.52	1838.36	900.12	456.88	192.48	310.16	767.48	689.08	271.44	320.2	480.48	280.56	19.76	0	0	36	171	454	429	110	0.48
TSS_00025	60.76	174	265	126	0	0	0	69	131	213	315.16	830.52	1473.16	1664.72	1977.28	2779.4	5177.48	9047.28	11602.5	10013	7722.4	6012.28	3369.88	1838.44	1660.72	4237.96	4778.44	1850.64	391.96	43.8	0	92.04	596.96	607.96	103.04	7.6	1163.92	2566.16	3270.2	3257.96	2686.72	2471.8	1746.64	1046.24	918.84	713.2	464.68	237.04	219	300
TSS_00028	0	0	50	100	50	0	0	25	106	200	215	259	179	16	0	0	77	123	267.4	1044.8	1736	1318.6	419.6	70.6	1240.6	2268	1427	1337.4	2821.6	3364	3459.2	4399.2	4710	3817.8	3375.2	3405.2	2777.2	2061	1937.6	1379.4	597.6	419	254	92	123.2	484.8	430.2	392.8	346.6	22.4
