	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	180	257	479	785.2	650.6	593	674.4	255.8	22	275	432.8	416.2	245.2	10.6	91.2	250.2	248.8	148	173.2	398.8	286.8	32.4	377.6	593.2	642	626.8	484.4	1406.8	1299.6	234.4	96.4	66.6	410	600.2	409.8	334.8	325.6	325.6	316.6	691.6	1105.8	588.8	32.2	0	0	393	861	849.4	1230.6	913.6
TSS_00004	415.36	448.84	358.96	340.08	479.76	541.28	350.24	219.32	589.92	502.92	230.08	427	293.68	171.32	388.32	699.68	1026.88	799.12	328.12	442.88	607.36	817.44	1363.64	1586.04	2819.44	6267.84	9098.64	7927.32	5999	5306.84	4930.76	4167.36	3097.16	2803.04	2304.12	1456.12	685.04	723.84	574.32	478.12	820.04	1195.56	1346	950.6	494.36	478.88	745.12	1343	1814.56	1405.44
TSS_00006	716	876.2	603	640.56	803.44	1121.8	1133	631.04	460.12	1458.2	1762.8	1393	2008.24	1617.88	578.4	544.92	500	214	330	642.56	933.96	807.92	559.04	577.72	1449.12	4985.48	9440.72	8834.8	5899.84	4847.08	4594.64	5675.8	5929.72	5490.04	4824.44	4686.24	4761.36	3527.96	2591.96	2726.52	3081.52	2704.4	1726.68	880.68	849.8	583.04	251.96	270.76	343.56	719.44
TSS_00011	84	0	0	0	59.4	185.6	140.6	93.4	464.4	661.6	340.08	190.92	209.52	196.76	575.72	694.88	644.12	838.6	1239.32	1506.32	1072.12	912.76	1305.6	1137.92	1206.68	2286.92	3970.44	4215.72	3612.84	4000.36	2871.2	1218	1389.32	1949.64	1439.28	1257.4	1059.36	253.2	333	1433.48	2332.48	2153.56	934.52	169.96	405.6	510.4	394.4	132.6	65	527
TSS_00014	165	49	0	12.8	203.4	443	296.6	226.2	600	591.8	545.2	571.2	620.8	554.2	628.8	1795.4	2794.6	2917.6	2798.4	2542	2790	3477.8	2596.2	1289.8	1228.6	1307.4	1181.2	1809.8	4051.8	6060.8	6043	6197	6108.6	5557.8	5644.8	4591.8	2977.8	2559.4	2527.2	2460.2	2740	2578	2530.6	2364.8	1933.4	2415	3105.6	2839	2183.2	1277.8
TSS_00016	848.64	1929.48	2230.08	1872.76	2117.64	1765.32	1602.56	1796.44	1788.72	1285.84	566.84	767.16	1091.36	947.52	1050.92	733.32	373.16	433.96	856.32	1558.2	1647.28	1556.04	1241.88	651.96	2231.24	3764.6	4330.44	5029.28	4320.6	3224.32	3101.16	2213.68	990.2	1212.68	1348	1076.84	1597.48	1691.76	841.8	705.84	611.6	564.56	729.96	1055.44	1365.2	763	251.4	300	159	60
TSS_00020	480.6	945	1351.4	934.8	782	960	899.6	1676.6	2474.84	1939.76	1370.84	2276.04	2256.76	2066.32	4108.52	3969.56	2928.72	3212.08	4679.2	6632.2	5989.2	4889.2	4290.36	2965.28	2201.2	5235.48	7748.44	7852.8	6936.84	4742.96	3319.8	3089.32	4534.2	4497.68	2738.4	1857.4	1989.16	3348.8	3354.68	1868.84	821.24	286.68	885.28	1216.72	782.72	510.28	332	297.04	384.96	551
TSS_00022	350.04	454	534.2	585.8	380.8	65.2	100	50	311	800	489.24	111.76	202.4	180.48	345.48	533.76	356.68	383.2	677.2	524.8	272	412.16	433.84	159.12	128.88	194.72	83.28	0	353	524	570	542	177	54	236	281.44	231.56	439.56	371.44	367	649	611	383	257.64	403.44	630.28	525.56	193.08	4.8	146.76
TSS_00025	27.92	114	196	86	0.88	143.12	202	354	518.16	552.28	715.92	1027.76	1724.28	1689.04	1092.16	2231.68	4279.96	4835.24	5599.96	6382.48	6479.52	5592.84	3707.76	2221.2	1082.04	1394.52	1719.36	876	333.84	199.84	44.16	18.4	451.8	749.4	348.52	273.32	1109	2353.16	2242.84	1417.88	2805.32	4025	2461.32	1601.32	1697.92	1004.68	928.96	1289	839.32	391.84
TSS_00028	543.2	863.4	1013.8	933	604.6	305.8	38.4	29	100	71	88.8	549.2	751.2	450.8	229.4	346.8	411.4	288.2	498.2	884	985	481	47	292.4	1451.4	3415.4	3147	2815.6	3870.8	3505.2	3023.8	3878.8	4040.4	2552.6	2115.6	2883.2	3216.8	2226.2	1015.6	831	696.4	461.6	461.2	629	631.6	307.8	398	559.6	1187	1105.6
TSS_00036	98.08	227.08	434.92	423	460	649	377	148	130	402	616	420	293.04	321.96	412.96	596.04	478	272.72	1268.28	1721.04	914.4	688.44	1890.68	2439.92	1245.16	1690.08	2839.32	3333.36	2801.92	1050.44	939.68	2236.32	2246.8	1077.68	1102.08	1460.68	834.92	1338.96	2181.88	1502.36	486.32	278.56	248.56	145.44	200	76	0	0	96.16	487.44
