	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	1127.2	1083.2	364.8	230	382.2	428	692.2	782.4	327.4	338.8	298.2	28.8	95	528	607	633	498	39	82	268.2	495.8	735.8	571.6	289.6	150.6	358.4	427.2	592.8	987.8	701.2	385	287.2	493.8	806.8	606.2	424	300	36	0	0	643	1554	1157	246	0	55	100	705.2	1493.2	1606.4
TSS_00004	80	200	394.12	596.88	366.88	125.12	233.96	556.04	437.2	465.8	624.84	468.16	463	188	276	309.12	120.88	90.88	54.24	358.84	1073.88	2408.04	3062.92	3711	7911.48	15307.6	16519.4	10862.6	6481.6	4193.84	5836.32	7254.44	4382.4	1951.84	1507.04	1158.32	672.6	853.44	608.04	402.16	493.16	204.84	301	387	199	92	171.36	928.64	1128.64	401.36
TSS_00006	505.12	240	288	326.44	740.64	2222.16	4211.88	5696.2	4682.48	2398.2	1445	1011	1191.32	1691.68	1017.36	424.64	323.32	104.68	166	930	2345.12	3264.64	2899.32	2276.44	2248.24	4282.84	6525.88	5879.84	4384.76	2657.72	1276.96	2132.2	3655.4	3805.56	3216.76	2559.88	2581.08	1924.08	908.36	1088.76	1193.12	791.04	299	78	105.44	260.56	394.56	179.44	377	538
TSS_00011	40	200	160	92	204.48	223.64	886.4	1084.92	392.56	99.44	37	565.36	799.76	387.64	279.8	147	23	260	453.24	619.76	876.76	1145.36	1578.04	2501.88	3157.8	5385.6	8490.52	7586.32	4086.76	1687.8	715.16	213.28	76.72	200	563	713.44	482.04	280.08	96.96	26.48	100	80	0	286	619.88	511.12	180.12	69.6	281.28	345.28
TSS_00014	656	1288	744	71.6	290.4	228.4	9.6	108	200	134	201.6	556.4	598.4	457.8	724.8	866.6	1120	1348.6	1339.2	1578.2	2095.6	3786.4	4200.8	4268	7609.6	11447.2	11169.8	7168	4324.6	3605	3916.2	4026.2	3648.4	3383.6	2293.4	1873.2	2720	2741.4	2441.8	2048.4	1968	1883.8	1535.4	1508.6	1297.6	716.8	1125	2316	2271.8	1439.8
TSS_00016	2192.88	2602.96	2977.8	3687.56	3899.04	3001.04	2269.04	1703.08	3112.52	3725	1426.04	186.48	155.88	361.12	472.8	753.2	646.64	773.08	2202.2	2246.36	1316.48	1747.72	1780.2	1282.84	1323.72	1892.96	4077.44	6181.6	6084.44	4548.32	2834.76	1499.28	880.96	629.92	516.44	909.24	708.04	200.36	312	538	331	100	173.56	542.24	747.64	357.76	35.8	0	0	0
TSS_00020	406.84	149.36	812.64	1347.48	1154.52	1237.52	1153.72	1432.44	1572.08	1119.4	1296.88	1507.16	1792.76	1812.28	1306.16	1500.8	1384.28	1272.16	2894.6	3318	3807.8	4874.04	5990.24	8401.92	9821	11544.6	10309.1	6633.64	4020.04	2978.84	2991.44	2642.84	2744.16	2734.36	1878.76	619	90.16	372.84	565.84	227.16	14	0	11.76	211.04	485.32	1606.36	2001.64	792.28	393.6	290.32
TSS_00022	1067	1040	1318.8	1158.2	419.2	216.8	349	187	33	0	7.68	419.28	876.36	695.72	542.88	803.08	673.08	238.04	490.88	444.36	184.64	299.52	124.48	0	0	0	0	3.36	91.64	96.64	8.36	0	82	256	218	44	8.16	187.84	211.84	437.16	482.4	244.6	197.6	105.4	377	627	579	793	644	105
TSS_00025	265.44	1051.56	1135.52	347.48	98.32	3.68	1.28	91.72	194.52	545.48	832.84	1065.16	1215.36	1036.64	825	717	1305.52	1977.6	2202.6	2970.48	3783.12	3675.2	3166	2327.96	2082.24	4703.92	5398.56	2960.84	1365.96	347	127	295	950.44	1430.56	753.24	518.8	1398.8	1938.6	2400.16	2311.92	1544	1199.48	783.36	286.64	242.4	880.6	1159.6	819.4	894	1496
TSS_00028	877.8	737.2	211	361	420	239	90	0	0	40.8	579.2	634	464	525.2	182.8	101.4	469.6	720	923	768.4	564.4	507.8	327.8	1966.6	4846.6	7414	5588.8	4159	5149.6	3891.8	2777.2	2046.8	2202.2	3189.4	3086	2335	1987	1682.4	1242.2	660.4	858.8	1069.8	552.4	272.6	298.4	129.6	100	85	0	0
